,administrative,administrative_duration,informational,informational_duration,product_related,product_related_duration,bounce_rates,exit_rates,page_values,month,operating_systems,browser,region,traffic_type,visitor_type,weekend,revenue
1632,0.0,0 days 00:00:00,0,0 days 00:00:00,4.0,0 days 00:00:00,0.0,0.037,0.0,Mar,MACOS,Safari,Western Europe,Facebook ads,Returning_Visitor,False,False
1633,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0095,0.034,0.0,Nov,MACOS,Safari,Western Europe,Google search,Returning_Visitor,True,False
1634,2.0,0 days 00:00:26.200000,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0222,0.014,0.0,Sep,Android,Google Chrome,South America,Google search,New_Visitor,False,False
1635,0.0,0 days 00:00:00,0,0 days 00:00:00,25.0,0 days 00:00:00,0.0216,0.033,0.0,Jul,MACOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
1636,0.0,0 days 00:01:01,0,0 days 00:00:00,15.0,0 days 00:00:00,0.0,0.027,0.0,Nov,MACOS,Safari,North America,Youtube channel,Returning_Visitor,False,False
1637,4.0,0 days 00:02:28.100000,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.004,49.8,Oct,Windows,Google Chrome,Eastern Europe,Google search,New_Visitor,False,True
1638,5.0,0 days 00:04:11.066666699,1,0 days 00:01:46,13.0,0 days 00:01:46,0.0083,0.004,0.0,May,MACOS,Safari,North America,Bing search,Returning_Visitor,False,False
1639,5.0,0 days 00:01:22.400000,1,0 days 00:00:29.400000,1.0,0 days 00:00:29.400000,0.0122,0.022,0.0,Oct,Windows,Mozilla Firefox,North America,Google search,Returning_Visitor,False,False
1640,4.0,0 days 00:00:57,0,0 days 00:00:00,151.0,0 days 00:00:00,0.0058,0.014,1.4,Mar,Windows,Google Chrome,Northern Africa,Facebook ads,Returning_Visitor,False,True
1641,0.0,0 days 00:00:00,1,0 days 00:00:01,2.0,0 days 00:00:01,0.2,0.2,0.0,Dec,Windows,Mozilla Firefox,Eastern Europe,Facebook ads,Returning_Visitor,False,False
1642,0.0,0 days 00:03:53,2,0 days 00:01:29,13.0,0 days 00:01:29,0.0,0.01,0.0,Mar,Windows,Google Chrome,North America,Youtube channel,New_Visitor,False,False
1643,0.0,0 days 00:00:00,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0,0.025,0.0,May,Android,Android,Western Europe,Facebook ads,Returning_Visitor,False,False
1644,8.0,0 days 00:01:19.870000,0,0 days 00:00:00,9.0,0 days 00:00:00,0.0,0.03,0.0,May,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
1645,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0286,0.057,0.0,Dec,MACOS,Safari,Southern Africa,Google search,Returning_Visitor,False,False
1646,0.0,0 days 00:00:00,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0,0.013,0.0,Nov,MACOS,Safari,Northern Africa,Instagram ads,Returning_Visitor,True,False
1647,0.0,0 days 00:00:00,4,0 days 00:00:00,13.0,0 days 00:00:00,0.0,0.034,0.0,May,MACOS,Safari,South America,Google search,Returning_Visitor,True,False
1648,9.0,0 days 00:08:05.500000,0,0 days 00:00:00,117.0,0 days 00:00:00,0.0014,0.011,0.8,May,Windows,Google Chrome,Oceania,Bing search,Returning_Visitor,False,False
1649,0.0,0 days 00:00:00,0,0 days 00:00:00,17.0,0 days 00:00:00,0.0103,0.031,0.0,May,MACOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
1650,2.0,0 days 00:00:06,3,0 days 00:03:59.200000,306.0,0 days 00:03:59.200000,0.0143,0.014,2.4,Nov,MACOS,Safari,Asia,Google search,Returning_Visitor,False,False
1651,2.0,0 days 00:00:32.500000,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.013,0.0,Mar,Windows,Google Chrome,Eastern Europe,Facebook ads,Returning_Visitor,False,False
1652,7.0,0 days 00:06:20.366666700,0,0 days 00:00:00,34.0,0 days 00:00:00,0.0,0.019,24.3,Dec,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
1653,4.0,0 days 00:00:51,0,0 days 00:00:00,49.0,0 days 00:00:00,0.02,0.039,1.5,Oct,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
1654,4.0,0 days 00:00:42,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0,0.016,0.0,Mar,Android,Google Chrome,Eastern Europe,Google search,Returning_Visitor,False,False
1655,8.0,0 days 00:01:32.678921490,0,0 days 00:00:00,150.0,0 days 00:00:00,0.0,0.007,17.8,May,Windows,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,True
1656,0.0,0 days 00:00:00,0,0 days 00:00:00,38.0,0 days 00:00:00,0.0,0.002,11.0,Mar,MACOS,Safari,Eastern Europe,Youtube channel,New_Visitor,True,True
1657,4.0,0 days 00:02:14,2,0 days 00:00:00,17.0,0 days 00:00:00,0.0253,0.06,0.0,May,Android,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
1658,1.0,0 days 00:00:08,0,0 days 00:00:00,4.0,0 days 00:00:00,0.1,0.15,0.0,Oct,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1659,0.0,0 days 00:00:06,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.038,0.0,May,Android,Google Chrome,Southern Africa,Direct Traffic,Returning_Visitor,False,False
1660,0.0,0 days 00:00:00,2,0 days 00:00:27.500000,65.0,0 days 00:00:27.500000,0.012,0.017,0.0,Dec,MACOS,Safari,North America,Affiliate marketing,Returning_Visitor,False,False
1661,0.0,0 days 00:00:00,0,0 days 00:00:00,20.0,0 days 00:00:00,0.0,0.038,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
1662,5.0,0 days 00:04:02,1,0 days 00:00:13,28.0,0 days 00:00:13,0.0,0.003,0.0,Mar,Windows,Mozilla Firefox,Western Europe,Google search,New_Visitor,False,False
1663,0.0,0 days 00:00:00,1,0 days 00:00:00,6.0,0 days 00:00:00,0.04,0.05,0.0,May,Windows,Mozilla Firefox,Africa,Instagram ads,Returning_Visitor,True,False
1664,6.0,0 days 00:00:06,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0154,0.028,0.0,June,Windows,Microsoft Edge,Asia,Bing search,New_Visitor,False,False
1665,2.0,0 days 00:16:04.266666699,0,0 days 00:00:00,18.0,0 days 00:00:00,0.0,0.007,33.9,June,MACOS,Safari,Africa,Google search,New_Visitor,False,True
1666,0.0,0 days 00:00:00,0,0 days 00:00:00,29.0,0 days 00:00:00,0.0083,0.013,95.2,Dec,MACOS,Safari,South America,Google search,Returning_Visitor,False,True
1667,2.0,0 days 00:00:31.625000,0,0 days 00:00:00,130.0,0 days 00:00:00,0.0075,0.023,2.0,Aug,Windows,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
1668,0.0,0 days 00:00:00,0,0 days 00:00:00,9.0,0 days 00:00:00,0.0,0.022,0.0,Mar,Windows,Google Chrome,Eastern Europe,Youtube ads,Returning_Visitor,False,False
1669,4.0,0 days 00:00:37.800000,1,0 days 00:00:26.600000,1.0,0 days 00:00:26.600000,0.0,0.002,4.3,Aug,Windows,Google Chrome,Western Europe,Bing search,New_Visitor,False,False
1670,4.0,0 days 00:01:22.400000,2,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.015,0.0,Aug,MACOS,Safari,North America,Google search,New_Visitor,False,False
1671,0.0,0 days 00:00:00,0,0 days 00:00:00,26.0,0 days 00:00:00,0.0286,0.053,0.0,May,Windows,Microsoft Edge,Northern Africa,Instagram ads,Returning_Visitor,False,False
1672,0.0,0 days 00:00:00,0,0 days 00:00:00,7.0,0 days 00:00:00,0.05,0.088,0.0,Mar,Android,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
1673,2.0,0 days 00:00:00,3,0 days 00:03:16.333333300,1.0,0 days 00:03:16.333333300,0.04,0.065,0.0,Mar,Windows,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
1674,0.0,0 days 00:00:06,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0,0.011,0.0,May,Windows,Google Chrome,Africa,Google search,Returning_Visitor,False,False
1675,4.0,0 days 00:00:48.333333330,0,0 days 00:00:00,53.0,0 days 00:00:00,0.0182,0.045,0.0,Nov,Windows,Mozilla Firefox,Southern Africa,Instagram ads,Returning_Visitor,False,False
1676,0.0,0 days 00:00:00,0,0 days 00:00:00,2.0,0 days 00:00:00,0.2,0.2,0.0,May,MACOS,Safari,Western Europe,Bing search,Returning_Visitor,True,False
1677,0.0,0 days 00:00:00,1,0 days 00:00:00,31.0,0 days 00:00:00,0.0136,0.026,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1678,0.0,0 days 00:00:00,0,0 days 00:00:00,76.0,0 days 00:00:00,0.0,0.032,0.0,May,Windows,Google Chrome,South America,Instagram ads,Returning_Visitor,False,False
1679,7.0,0 days 00:02:50.900000,1,0 days 00:03:57,11.0,0 days 00:03:57,0.0118,0.017,0.0,May,MACOS,Safari,Southern Africa,Bing search,Returning_Visitor,False,False
1680,0.0,0 days 00:00:00,1,0 days 00:00:19,33.0,0 days 00:00:19,0.0138,0.022,0.0,Nov,MACOS,Safari,North America,Instagram Page,Returning_Visitor,False,False
1681,7.0,0 days 00:01:05.571571570,2,0 days 00:00:42,29.0,0 days 00:00:42,0.0122,0.036,5.0,May,Android,Google Chrome,Western Europe,Bing search,Returning_Visitor,False,False
1682,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Dec,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,True
1683,0.0,0 days 00:00:06,0,0 days 00:00:00,7.0,0 days 00:00:00,0.1229,0.173,0.0,May,Android,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
1684,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0716,0.075,0.0,Dec,Android,Google Chrome,Africa,Facebook ads,Returning_Visitor,True,False
1685,4.0,0 days 00:00:57,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0246,0.033,0.0,Dec,MACOS,Safari,Western Europe,Google search,Returning_Visitor,False,False
1686,1.0,0 days 00:00:09,0,0 days 00:00:00,17.0,0 days 00:00:00,0.0,0.042,17.4,Oct,Windows,Google Chrome,North America,Bing search,Returning_Visitor,False,True
1687,16.0,0 days 00:05:29.237205200,0,0 days 00:00:00,104.0,0 days 00:00:00,0.0061,0.012,0.0,Nov,Android,Google Chrome,North America,Google search,Returning_Visitor,False,False
1688,3.0,0 days 00:00:46,1,0 days 00:00:16,87.0,0 days 00:00:16,0.0,0.013,0.0,Mar,Windows,Google Chrome,Africa,Google search,New_Visitor,False,False
1689,0.0,0 days 00:00:00,0,0 days 00:00:00,4.0,0 days 00:00:00,0.2,0.2,0.0,May,MACOS,Safari,North America,Yandex search,Returning_Visitor,False,False
1690,0.0,0 days 00:00:22.200000,0,0 days 00:00:00,97.0,0 days 00:00:00,0.028,0.057,0.0,Nov,Windows,Google Chrome,Northern Africa,Youtube ads,Returning_Visitor,False,False
1691,0.0,0 days 00:00:06,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Nov,Android,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
1692,4.0,0 days 00:01:14,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.024,19.5,Mar,Windows,Internet Explorer,Africa,Google search,Returning_Visitor,False,False
1693,2.0,0 days 00:00:06,1,0 days 00:00:29,34.0,0 days 00:00:29,0.0033,0.034,0.0,Dec,Android,Google Chrome,Southern Africa,Youtube channel,Returning_Visitor,False,True
1694,0.0,0 days 00:02:07,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0282,0.056,0.0,Dec,MACOS,Safari,Northern Africa,Instagram ads,Returning_Visitor,False,False
1695,2.0,0 days 00:01:11.400000,2,0 days 00:00:07,26.0,0 days 00:00:07,0.0,0.012,26.9,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
1696,10.0,0 days 00:07:13.600000,2,0 days 00:00:16.700000,6.0,0 days 00:00:16.700000,0.0,0.018,0.0,Sep,Windows,Microsoft Edge,Western Europe,Instagram Page,New_Visitor,False,False
1697,0.0,0 days 00:00:00,0,0 days 00:00:00,10.0,0 days 00:00:00,0.075,0.049,0.0,May,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
1698,0.0,0 days 00:00:00,0,0 days 00:00:00,19.0,0 days 00:00:00,0.0,0.057,0.0,Dec,Windows,Google Chrome,Northern Africa,Youtube ads,Returning_Visitor,False,False
1699,8.0,0 days 00:04:34.566666700,3,0 days 00:04:42.400000,75.0,0 days 00:04:42.400000,0.0111,0.024,3.9,Oct,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
1700,4.0,0 days 00:00:40.200000,2,0 days 00:00:00,61.0,0 days 00:00:00,0.0087,0.012,6.4,Nov,MACOS,Safari,North America,Facebook ads,Returning_Visitor,False,True
1701,5.0,0 days 00:01:07.600000,5,0 days 00:01:07.500000,19.0,0 days 00:01:07.500000,0.0282,0.044,5.6,Jul,Android,Android,South America,Twitter,Returning_Visitor,False,False
1702,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Aug,MACOS,Safari,North America,Facebook ads,Returning_Visitor,True,False
1703,6.0,0 days 00:01:26.500000,0,0 days 00:00:00,30.0,0 days 00:00:00,0.0,0.007,10.9,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,False,True
1704,9.0,0 days 00:11:59.750000,2,0 days 00:11:52,104.0,0 days 00:11:52,0.0011,0.017,2.3,Mar,Windows,Mozilla Firefox,Asia,Google search,Returning_Visitor,False,False
1705,1.0,0 days 00:00:11,0,0 days 00:00:00,18.0,0 days 00:00:00,0.0,0.024,0.0,Mar,Windows,Google Chrome,Eastern Europe,Youtube channel,Returning_Visitor,False,False
1706,3.0,0 days 00:00:06,0,0 days 00:00:00,9.0,0 days 00:00:00,0.0,0.018,0.0,Jul,MACOS,Safari,North America,Google search,New_Visitor,False,False
1707,0.0,0 days 00:00:00,3,0 days 00:01:24,65.0,0 days 00:01:24,0.0082,0.027,0.0,Nov,MACOS,Google Chrome,North America,Google search,Returning_Visitor,False,False
1708,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.067,0.0,May,iOS,Safari,Western Europe,Twitter,Returning_Visitor,True,False
1709,3.0,0 days 00:01:33.600000,0,0 days 00:00:00,17.0,0 days 00:00:00,0.0089,0.046,0.0,Jul,MACOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
1710,0.0,0 days 00:00:00,0,0 days 00:00:00,20.0,0 days 00:00:00,0.0,0.007,0.0,May,Windows,Google Chrome,North America,Twitter,Returning_Visitor,True,False
1711,0.0,0 days 00:00:00,9,0 days 00:06:01,13.0,0 days 00:06:01,0.0333,0.039,0.0,Mar,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
1712,3.0,0 days 00:01:18,0,0 days 00:00:00,14.0,0 days 00:00:00,0.0,0.033,0.0,Mar,Windows,Google Chrome,Western Europe,Instagram ads,Returning_Visitor,False,False
1713,0.0,0 days 00:00:00,0,0 days 00:00:00,22.0,0 days 00:00:00,0.0458,0.054,3.1,May,Windows,Mozilla Firefox,Western Europe,Twitter,Returning_Visitor,False,False
1714,0.0,0 days 00:00:00,0,0 days 00:00:00,55.0,0 days 00:00:00,0.0186,0.042,0.0,Nov,Windows,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
1715,3.0,0 days 00:00:51.480000,1,0 days 00:00:00,24.0,0 days 00:00:00,0.0,0.024,0.0,Sep,Windows,Opera,North America,Google search,Returning_Visitor,False,False
1716,0.0,0 days 00:00:00,0,0 days 00:00:00,92.0,0 days 00:00:00,0.008,0.043,0.0,Nov,Windows,Mozilla Firefox,North America,Instagram ads,Returning_Visitor,False,False
1717,1.0,0 days 00:00:27.400000,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0282,0.04,0.0,Jul,MACOS,Safari,North America,Bing search,Returning_Visitor,True,False
1718,0.0,0 days 00:00:00,0,0 days 00:00:00,12.0,0 days 00:00:00,0.0733,0.082,24.7,May,Android,Google Chrome,Asia,Twitter,Returning_Visitor,False,True
1719,0.0,0 days 00:01:40,0,0 days 00:00:00,43.0,0 days 00:00:00,0.0231,0.045,4.1,Dec,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,True
1720,0.0,0 days 00:00:00,0,0 days 00:00:00,19.0,0 days 00:00:00,0.0,0.029,0.0,May,Windows,Google Chrome,Eastern Europe,Youtube ads,Returning_Visitor,False,False
1721,0.0,0 days 00:00:00,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0167,0.033,0.0,Dec,Windows,Google Chrome,South America,Google search,Returning_Visitor,False,False
1722,0.0,0 days 00:00:00,0,0 days 00:00:00,2.0,0 days 00:00:00,0.0667,0.1,0.0,Nov,Android,Google Chrome,Western Europe,Facebook ads,Returning_Visitor,False,False
1723,2.0,0 days 00:01:15.300000,1,0 days 00:00:12,1.0,0 days 00:00:12,0.02,0.036,0.0,June,Android,Google Chrome,Asia,Instagram ads,Returning_Visitor,False,True
1724,0.0,0 days 00:00:06,0,0 days 00:00:00,5.0,0 days 00:00:00,0.0,0.05,0.0,Dec,MACOS,Safari,North America,Youtube channel,Returning_Visitor,False,False
1725,0.0,0 days 00:00:06,1,0 days 00:06:32.250000,21.0,0 days 00:06:32.250000,0.0163,0.038,0.0,Dec,Windows,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
1726,0.0,0 days 00:00:00,0,0 days 00:00:00,29.0,0 days 00:00:00,0.0,0.014,0.0,Nov,Windows,Google Chrome,North America,Google search,New_Visitor,False,False
1727,3.0,0 days 00:01:21.500000,1,0 days 00:00:00,125.0,0 days 00:00:00,0.0,0.005,0.0,Nov,Windows,Microsoft Edge,Asia,Facebook ads,Returning_Visitor,False,False
1728,0.0,0 days 00:00:00,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0,0.029,0.0,Mar,Windows,Internet Explorer,Northern Africa,Facebook ads,Returning_Visitor,False,False
1729,6.0,0 days 00:03:22.250000,0,0 days 00:00:00,28.0,0 days 00:00:00,0.0,0.001,19.9,May,Windows,Mozilla Firefox,Western Europe,Google search,New_Visitor,False,True
1730,2.0,0 days 00:02:40.200000,0,0 days 00:00:00,16.0,0 days 00:00:00,0.0,0.022,0.0,Nov,MACOS,Safari,North America,Google search,Returning_Visitor,False,False
1731,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.2,0.2,0.0,Nov,Windows,Mozilla Firefox,Southern Africa,Instagram ads,Returning_Visitor,False,False
1732,2.0,0 days 00:00:32,0,0 days 00:00:00,111.0,0 days 00:00:00,0.0152,0.039,0.0,May,Android,Google Chrome,Africa,Youtube ads,Returning_Visitor,False,False
1733,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,May,MACOS,Google Chrome,Asia,Bing search,Returning_Visitor,False,False
1734,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0133,0.05,0.0,May,Android,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1735,1.0,0 days 00:00:37,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0,0.003,0.0,Dec,ChromeOS,Google Chrome,Eastern Europe,Google search,New_Visitor,False,False
1736,6.0,0 days 00:01:50.965000,0,0 days 00:00:00,17.0,0 days 00:00:00,0.0182,0.026,0.0,Jul,Windows,Mozilla Firefox,North America,Facebook ads,Returning_Visitor,True,False
1737,0.0,0 days 00:00:00,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0351,0.026,0.0,Feb,MACOS,Safari,Eastern Europe,Bing search,Returning_Visitor,False,False
1738,0.0,0 days 00:00:00,3,0 days 00:24:18.500000,74.0,0 days 00:24:18.500000,0.0,0.011,0.0,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,False,False
1739,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.05,0.067,0.0,Dec,Windows,Google Chrome,Africa,Direct Traffic,Returning_Visitor,False,False
1740,2.0,0 days 00:00:47.200000,0,0 days 00:00:00,21.0,0 days 00:00:00,0.0,0.022,0.0,Dec,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
1741,5.0,0 days 00:07:25.566666700,0,0 days 00:00:00,25.0,0 days 00:00:00,0.0,0.003,0.0,Mar,MACOS,Safari,North America,Youtube channel,New_Visitor,True,False
1742,0.0,0 days 00:00:00,0,0 days 00:00:00,12.0,0 days 00:00:00,0.0,0.025,0.0,Dec,Windows,Google Chrome,Asia,Google search,Returning_Visitor,False,False
1743,4.0,0 days 00:00:06,1,0 days 00:00:00,18.0,0 days 00:00:00,0.0,0.008,0.0,Sep,Android,Microsoft Edge,Western Europe,Facebook ads,Returning_Visitor,False,False
1744,0.0,0 days 00:00:00,0,0 days 00:00:00,40.0,0 days 00:00:00,0.0,0.011,0.0,Nov,MACOS,Google Chrome,Oceania,Bing search,New_Visitor,False,False
1745,3.0,0 days 00:01:19,1,0 days 00:01:18,14.0,0 days 00:01:18,0.0,0.011,58.3,May,Android,Google Chrome,Eastern Europe,Bing search,Returning_Visitor,False,True
1746,0.0,0 days 00:00:00,0,0 days 00:00:00,10.0,0 days 00:00:00,0.0195,0.044,0.0,Nov,Windows,Google Chrome,South America,Facebook ads,Returning_Visitor,False,False
1747,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.2,0.2,0.0,Nov,MACOS,Google Chrome,North America,Affiliate marketing,Returning_Visitor,False,True
1748,7.0,0 days 00:00:56.540000,0,0 days 00:00:00,84.0,0 days 00:00:00,0.0075,0.028,23.4,Nov,Windows,Google Chrome,Asia,Facebook ads,Returning_Visitor,False,False
1749,5.0,0 days 00:01:58,2,0 days 00:00:42,25.0,0 days 00:00:42,0.0,0.003,0.0,May,MACOS,Safari,Western Europe,Instagram ads,Returning_Visitor,False,False
1750,8.0,0 days 00:00:06,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0122,0.043,0.0,Sep,Windows,Google Chrome,Africa,Google search,Returning_Visitor,False,False
1751,1.0,0 days 00:00:06,0,0 days 00:00:00,13.0,0 days 00:00:00,0.0215,0.02,0.0,Nov,Android,Google Chrome,North America,Google search,New_Visitor,False,False
1752,0.0,0 days 00:00:00,0,0 days 00:00:00,27.0,0 days 00:00:00,0.0,0.01,19.5,May,MACOS,Safari,Eastern Europe,Bing search,Returning_Visitor,False,True
1753,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,Mar,Windows,Google Chrome,North America,Facebook ads,Returning_Visitor,False,False
1754,2.0,0 days 00:01:20,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.011,0.0,Nov,Android,Google Chrome,Asia,Affiliate marketing,Returning_Visitor,False,False
1755,2.0,0 days 00:35:55,4,0 days 00:09:12.250000,64.0,0 days 00:09:12.250000,0.0058,0.018,0.0,Sep,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
1756,0.0,0 days 00:00:00,0,0 days 00:00:00,6.0,0 days 00:00:00,0.0337,0.047,0.0,Dec,Windows,Mozilla Firefox,Western Europe,Google search,Returning_Visitor,False,False
1757,0.0,0 days 00:00:06,0,0 days 00:00:00,1.0,0 days 00:00:00,0.02,0.046,0.0,May,Windows,Google Chrome,Western Europe,Youtube ads,Returning_Visitor,False,False
1758,0.0,0 days 00:00:00,1,0 days 00:00:19,6.0,0 days 00:00:19,0.0667,0.1,0.0,May,Android,Google Chrome,Africa,Facebook ads,Returning_Visitor,False,False
1759,1.0,0 days 00:01:03.500000,0,0 days 00:00:00,21.0,0 days 00:00:00,0.0286,0.042,0.0,Dec,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,False
1760,2.0,0 days 00:01:33.100000,0,0 days 00:00:00,31.0,0 days 00:00:00,0.0,0.001,13.5,May,Windows,Opera,Eastern Europe,Google search,Returning_Visitor,False,True
1761,0.0,0 days 00:00:16,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0,0.029,8.8,Dec,MACOS,Safari,Northern Africa,Instagram ads,Returning_Visitor,False,False
1762,11.0,0 days 00:02:32.815756800,2,0 days 00:00:15.750000,5.0,0 days 00:00:15.750000,0.0561,0.05,0.0,May,Android,Google Chrome,Western Europe,Yandex search,Returning_Visitor,False,False
1763,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.0222,0.052,0.0,May,Windows,Mozilla Firefox,Eastern Europe,Bing search,Returning_Visitor,False,False
1764,0.0,0 days 00:00:00,0,0 days 00:00:00,4.0,0 days 00:00:00,0.1,0.14,0.0,May,Windows,Google Chrome,North America,Instagram ads,Returning_Visitor,False,False
1765,0.0,0 days 00:01:02.500000,1,0 days 00:01:20,11.0,0 days 00:01:20,0.0,0.015,0.0,Dec,Windows,Google Chrome,North America,Google search,New_Visitor,True,False
1766,0.0,0 days 00:00:00,0,0 days 00:00:00,1.0,0 days 00:00:00,0.2,0.2,0.0,May,Windows,Google Chrome,North America,Youtube ads,Returning_Visitor,False,False
1767,16.0,0 days 00:06:17.616666700,1,0 days 00:02:11.500000,68.0,0 days 00:02:11.500000,0.0022,0.01,12.4,May,iOS,Safari,Eastern Europe,Bing search,Returning_Visitor,False,True
1768,4.0,0 days 00:03:06.400000,2,0 days 00:02:56.300000,227.0,0 days 00:02:56.300000,0.0014,0.017,0.0,Oct,Windows,Google Chrome,Eastern Europe,Instagram ads,Returning_Visitor,False,False
1769,5.0,0 days 00:07:59.666666700,2,0 days 00:03:19,22.0,0 days 00:03:19,0.0,0.003,23.2,Mar,Windows,Microsoft Edge,North America,Google search,Returning_Visitor,False,True
1770,1.0,0 days 00:00:06,0,0 days 00:00:00,2.0,0 days 00:00:00,0.0,0.025,0.0,Nov,MACOS,Samsung Internet,Western Europe,Twitter,New_Visitor,False,False
1771,0.0,0 days 00:00:00,0,0 days 00:00:00,97.0,0 days 00:00:00,0.0155,0.029,0.0,May,Windows,Microsoft Edge,Africa,Instagram ads,Returning_Visitor,False,False
1772,0.0,0 days 00:00:00,0,0 days 00:00:00,3.0,0 days 00:00:00,0.0,0.067,0.0,Aug,Windows,Google Chrome,North America,Direct Traffic,Returning_Visitor,True,False
1773,0.0,0 days 00:00:05,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0333,0.077,0.0,May,Windows,Google Chrome,Eastern Europe,Bing search,Returning_Visitor,False,False
1774,0.0,0 days 00:00:00,0,0 days 00:00:00,8.0,0 days 00:00:00,0.0,0.014,61.8,Nov,Windows,Google Chrome,North America,Google search,Returning_Visitor,True,True
1775,6.0,0 days 00:01:17.500000,0,0 days 00:00:00,23.0,0 days 00:00:00,0.0095,0.022,0.0,Nov,Windows,Google Chrome,Western Europe,Google search,Returning_Visitor,True,False
1776,0.0,0 days 00:00:00,0,0 days 00:00:00,11.0,0 days 00:00:00,0.0367,0.063,20.8,Jul,iOS,Safari,North America,Instagram ads,Returning_Visitor,False,False
1777,2.0,0 days 00:00:41.666666670,0,0 days 00:00:00,7.0,0 days 00:00:00,0.0,0.007,0.0,June,Android,Google Chrome,North America,Instagram ads,New_Visitor,False,False
1778,3.0,0 days 00:00:51.200000,3,0 days 00:31:36.800000,48.0,0 days 00:31:36.800000,0.0047,0.034,0.0,Nov,Windows,Google Chrome,Oceania,Google search,Returning_Visitor,False,False
